"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","23/73","297/8773",8.05565246782944e-17,1.44196179174147e-14,8.14044880959606e-15,"6347/6352/729230/3627/3576/356/3458/3553/3558/3559/3563/3569/3574/3575/7124/943/8741/7852/3976/9235/6351/2920/1236",23
"hsa04668","hsa04668","TNF signaling pathway","14/73","114/8773",3.37906695887759e-13,3.02426492819545e-11,1.70731804238026e-11,"6347/6352/3627/1906/2353/3553/3569/4318/4792/7124/7412/3976/6401/2920",14
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor","13/73","100/8773",1.21101688647765e-12,7.0374416287028e-11,3.9729161796852e-11,"6347/6352/729230/3627/3576/3558/3559/3569/7124/7852/6351/2920/1236",13
"hsa05142","hsa05142","Chagas disease","13/73","102/8773",1.57261265445873e-12,7.0374416287028e-11,3.9729161796852e-11,"6347/6352/3576/356/2353/3458/3553/3558/3569/4792/5054/7124/718",13
"hsa05144","hsa05144","Malaria","10/73","50/8773",6.62943476796728e-12,2.37333764693229e-10,1.33984365836812e-10,"6347/3576/3458/3553/3569/7124/7412/7057/22914/6401",10
"hsa05323","hsa05323","Rheumatoid arthritis","12/73","93/8773",1.05335934136067e-11,3.06782257305426e-10,1.73190806829291e-10,"6347/6352/941/942/3576/2353/3458/3553/3569/7124/8741/2920",12
"hsa04657","hsa04657","IL-17 signaling pathway","12/73","94/8773",1.19970715147373e-11,3.06782257305426e-10,1.73190806829291e-10,"6347/3627/3576/2353/3458/3553/3569/4318/4792/7124/6279/2920",12
"hsa05332","hsa05332","Graft-versus-host disease","9/73","42/8773",4.12118827793074e-11,9.22115877187004e-10,5.20571150896515e-10,"941/942/356/3458/3553/3558/3569/7124/5551",9
"hsa05417","hsa05417","Lipid and atherosclerosis","15/73","215/8773",1.75700197547381e-10,3.49448170677569e-09,1.97277414790042e-09,"6347/6352/3576/356/2353/3553/3569/4318/4792/7124/7412/6648/3303/6401/2920",15
"hsa04620","hsa04620","Toll-like receptor signaling pathway","11/73","108/8773",1.10512484104903e-09,1.97817346547776e-08,1.1167577341127e-08,"6352/941/942/3627/3576/2353/3553/3569/4792/7124/6351",11
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","12/73","139/8773",1.24992116735721e-09,2.03396262688127e-08,1.14825293843341e-08,"6347/1906/2353/3162/3458/3553/4318/7124/7412/1843/7056/6401",12
"hsa04940","hsa04940","Type I diabetes mellitus","8/73","43/8773",1.7824677203766e-09,2.6588476828951e-08,1.50102544873819e-08,"941/942/356/3458/3553/3558/7124/5551",8
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","10/73","100/8773",8.04059004918451e-09,1.10712739908002e-07,6.25017526090456e-08,"6347/3576/1906/3553/3569/5054/7124/7412/7056/6401",10
"hsa05134","hsa05134","Legionellosis","8/73","56/8773",1.60214267947542e-08,2.04845385447215e-07,1.15643381375669e-07,"3576/3553/3569/4792/7124/3303/718/2920",8
"hsa05143","hsa05143","African trypanosomiasis","7/73","37/8773",1.73773361318795e-08,2.07369544507095e-07,1.17068369730557e-07,"356/3458/3553/3569/7124/7412/6401",7
"hsa05330","hsa05330","Allograft rejection","7/73","38/8773",2.11609454365851e-08,2.36738077071796e-07,1.3364807644159e-07,"941/942/356/3458/3558/7124/5551",7
"hsa04610","hsa04610","Complement and coagulation cascades","9/73","86/8773",3.17813885793703e-08,3.3463932680631e-07,1.88917232422263e-07,"5328/5054/2/5055/5329/5270/7056/718/728",9
"hsa04640","hsa04640","Hematopoietic cell lineage","9/73","99/8773",1.09780056489067e-07,1.0917016728635e-06,6.1630908906143e-07,"3553/3559/3563/3569/3574/3575/7124/914/930",9
"hsa04672","hsa04672","Intestinal immune network for IgA production","7/73","49/8773",1.3393509267586e-07,1.26180955731468e-06,7.12341767140305e-07,"941/942/3558/3569/8741/7852/29851",7
"hsa04064","hsa04064","NF-kappa B signaling pathway","9/73","105/8773",1.83161878394858e-07,1.63929881163398e-06,9.25449490837176e-07,"3576/3553/4792/5328/7124/7412/6351/2920/3932",9
"hsa05164","hsa05164","Influenza A","10/73","171/8773",1.31029767981968e-06,1.11687278422725e-05,6.30519184274131e-06,"6347/6352/3627/3576/356/3458/3553/3569/4792/7124",10
"hsa05135","hsa05135","Yersinia infection","9/73","137/8773",1.76677485333364e-06,1.43751226703055e-05,8.11532946985787e-06,"6347/3576/2353/3553/3558/3569/4792/7124/3932",9
"hsa04936","hsa04936","Alcoholic liver disease","9/73","142/8773",2.38288915605097e-06,1.85450938666576e-05,1.04694443469516e-05,"3576/356/3553/3569/4792/7124/718/728/2920",9
"hsa04659","hsa04659","Th17 cell differentiation","8/73","108/8773",2.81390624523223e-06,2.09870507456904e-05,1.18480262957147e-05,"2353/3458/3553/3558/3559/3569/4792/3932",8
"hsa05171","hsa05171","Coronavirus disease - COVID-19","11/73","233/8773",3.05405850930568e-06,2.18670589266286e-05,1.23448259744566e-05,"6347/3627/3576/2353/3553/3558/3569/4792/7124/718/728",11
"hsa04062","hsa04062","Chemokine signaling pathway","10/73","192/8773",3.74216176412832e-06,2.57633444530373e-05,1.45444343868955e-05,"6347/6352/729230/3627/3576/4792/7852/6351/2920/1236",10
"hsa05161","hsa05161","Hepatitis B","9/73","162/8773",7.05900785423997e-06,4.67986076262576e-05,2.64196785187929e-05,"3576/356/2353/3569/4318/4792/7124/890/1959",9
"hsa04630","hsa04630","JAK-STAT signaling pathway","9/73","166/8773",8.60958883444744e-06,5.50398714773604e-05,3.10722003047727e-05,"3458/3558/3559/3563/3569/3574/3575/1154/3976",9
"hsa05340","hsa05340","Primary immunodeficiency","5/73","38/8773",1.40760364760012e-05,8.68831216966972e-05,4.90489837276268e-05,"3575/29851/973/930/3932",5
"hsa05163","hsa05163","Human cytomegalovirus infection","10/73","225/8773",1.52250490749347e-05,9.0842792813777e-05,5.1284375831359e-05,"6347/6352/3576/356/3553/3569/4792/7124/7852/6351",10
"hsa05162","hsa05162","Measles","8/73","138/8773",1.73857709672588e-05,0.000100388806552881,5.66734809119472e-05,"356/2353/3553/3558/3559/3569/4792/3303",8
"hsa05133","hsa05133","Pertussis","6/73","76/8773",3.71887916066115e-05,0.000208024803049483,0.000117438289284036,"3576/2353/3553/3569/7124/718",6
"hsa05140","hsa05140","Leishmaniasis","6/73","77/8773",4.00681563936593e-05,0.000217339393771667,0.000122696746851397,"2353/3458/3553/4792/7124/718",6
"hsa04514","hsa04514","Cell adhesion molecules","8/73","157/8773",4.4130762468542e-05,0.000232335484760853,0.0001311626376774,"941/942/6402/7412/29851/914/7122/6401",8
"hsa04660","hsa04660","T cell receptor signaling pathway","7/73","121/8773",6.1192153711804e-05,0.000304942991741729,0.000172152468139994,"2353/3458/3558/4792/7124/29851/3932",7
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway","6/73","83/8773",6.13293167748728e-05,0.000304942991741729,0.000172152468139994,"6352/3627/3553/3569/4792/6351",6
"hsa05320","hsa05320","Autoimmune thyroid disease","5/73","53/8773",7.30437084911988e-05,0.000353373616754718,0.000199493485495166,"941/942/356/3558/5551",5
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","9/73","222/8773",8.59941004483842e-05,0.000405077473164757,0.000228682372383515,"2353/3558/3559/3569/4792/7124/890/1959/3932",9
"hsa04650","hsa04650","Natural killer cell mediated cytotoxicity","7/73","132/8773",0.000106217721899066,0.000487512108203407,0.000275220008159524,"356/3458/7124/5551/3822/22914/3932",7
"hsa04658","hsa04658","Th1 and Th2 cell differentiation","6/73","92/8773",0.000109232809352429,0.000488816821852119,0.00027595657099561,"2353/3458/3558/3559/4792/3932",6
"hsa04210","hsa04210","Apoptosis","7/73","135/8773",0.000122322689553478,0.000534042961709088,0.0003014885288096,"356/2353/3563/4792/5366/7124/5551",7
"hsa04621","hsa04621","NOD-like receptor signaling pathway","8/73","186/8773",0.000145433583118136,0.000619824080432055,0.000349915387953409,"6347/6352/3576/3553/3569/4792/7124/2920",8
"hsa04380","hsa04380","Osteoclast differentiation","7/73","141/8773",0.000160502941356478,0.000668140151228129,0.000377191734889153,"2353/3458/3553/4792/7124/11026/3932",7
"hsa04151","hsa04151","PI3K-Akt signaling pathway","11/73","359/8773",0.000168082574304338,0.000683790472738102,0.000386026964909484,"356/3558/3559/3563/3569/3574/3575/7057/3371/930/374",11
"hsa05146","hsa05146","Amoebiasis","6/73","102/8773",0.000193208567840719,0.000757186127582128,0.000427461736241601,"3576/3458/3553/3569/7124/2920",6
"hsa05321","hsa05321","Inflammatory bowel disease","5/73","65/8773",0.000194584144518312,0.000757186127582128,0.000427461736241601,"3458/3553/3558/3569/7124",5
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","6/73","104/8773",0.000214890722545296,0.000818413602885275,0.000462027085427735,"3553/3558/3569/4792/7124/1959",6
"hsa05130","hsa05130","Pathogenic Escherichia coli infection","8/73","198/8773",0.000223579749976001,0.000833766150952171,0.000470694210475792,"3576/356/2353/3553/3569/4792/7124/7122",8
"hsa04066","hsa04066","HIF-1 signaling pathway","6/73","108/8773",0.000263999306332301,0.000964405629254731,0.000544445400814197,"1906/3162/3458/3569/5054/7076",6
"hsa04662","hsa04662","B cell receptor signaling pathway","5/73","90/8773",0.000881446578234024,0.00315557875007781,0.00178144992653613,"2353/4792/973/930/11026",5
"hsa05322","hsa05322","Systemic lupus erythematosus","6/73","137/8773",0.000938155982775301,0.00329274354738782,0.00185888491943094,"941/942/3458/7124/718/8330",6
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","7/73","194/8773",0.0011015654423468,0.00379192719577071,0.00214069397703022,"942/3576/2353/3569/4792/718/2920",7
"hsa04932","hsa04932","Non-alcoholic fatty liver disease","6/73","155/8773",0.00177264294590117,0.00598685070408132,0.00337981574590889,"3576/356/2353/3553/3569/7124",6
"hsa01523","hsa01523","Antifolate resistance","3/73","30/8773",0.00190997663266094,0.0063312188378946,0.00357422527749416,"3553/3569/7124",3
"hsa05160","hsa05160","Hepatitis C","6/73","158/8773",0.00195388858392324,0.00635901920949565,0.00358991969486376,"3627/356/3458/4792/7124/7122",6
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","4/73","70/8773",0.00267355989625438,0.0085458432398131,0.00482446898572218,"6352/3576/4792/2920",4
"hsa04622","hsa04622","RIG-I-like receptor signaling pathway","4/73","72/8773",0.00296264569698015,0.00930374701332364,0.00525233586168226,"3627/3576/4792/7124",4
"hsa04115","hsa04115","p53 signaling pathway","4/73","75/8773",0.00343532834765928,0.0106021340384657,0.00598532706670219,"5366/5054/7057/6241",4
"hsa04612","hsa04612","Antigen processing and presentation","4/73","78/8773",0.00395697498080257,0.0120050596875197,0.00677733448986703,"3458/7124/3822/3303",4
"hsa05219","hsa05219","Bladder cancer","3/73","41/8773",0.00469754777942994,0.0140143508752993,0.00791165941798727,"3576/4318/7057",3
"hsa05202","hsa05202","Transcriptional misregulation in cancer","6/73","193/8773",0.00526050999951131,0.0154365785231561,0.00871456358849155,"942/3576/3569/4318/5328/890",6
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","4/73","89/8773",0.00632521986535101,0.0182615218693199,0.0103093566565993,"2353/3458/4792/3932",4
"hsa05169","hsa05169","Epstein-Barr virus infection","6/73","202/8773",0.00654541747107438,0.0185972972590844,0.0104989152418236,"3627/3569/4792/7124/890/930",6
"hsa05205","hsa05205","Proteoglycans in cancer","6/73","203/8773",0.00670112337529198,0.0187422044402697,0.0105807211188821,"356/4318/5328/7124/7057/5329",6
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","6/73","212/8773",0.00822638595059451,0.0226542013100987,0.0127891992106408,"356/2353/4792/7124/7852/200315",6
"hsa04217","hsa04217","Necroptosis","5/73","159/8773",0.0102494245413679,0.0277976817106797,0.0156928988193193,"356/3458/3553/7124/8330",5
"hsa04010","hsa04010","MAPK signaling pathway","7/73","299/8773",0.0118681406543858,0.0317074205542547,0.0179001021652952,"356/2353/3553/7124/1843/3303/374",7
"hsa04350","hsa04350","TGF-beta signaling pathway","4/73","108/8773",0.0123402303602052,0.0324838416834812,0.0183384228263111,"3458/7124/3397/7057",4
"hsa05145","hsa05145","Toxoplasmosis","4/73","111/8773",0.0135371618621616,0.03511814454097,0.0198255917432115,"3458/4792/7124/3303",4
"hsa04670","hsa04670","Leukocyte transendothelial migration","4/73","115/8773",0.0152448891778181,0.0389833594689921,0.0220076595649705,"4318/7412/7852/7122",4
"hsa05131","hsa05131","Shigellosis","6/73","247/8773",0.0165718087509674,0.0411955391357189,0.0232565231227816,"6352/3576/3553/4792/7124/718",6
"hsa05132","hsa05132","Salmonella infection","6/73","247/8773",0.0165718087509674,0.0411955391357189,0.0232565231227816,"3576/2353/3553/3569/4792/7124",6
"hsa05152","hsa05152","Tuberculosis","5/73","180/8773",0.0168004154017178,0.0411955391357189,0.0232565231227816,"3458/3553/3569/7124/718",5
"hsa05416","hsa05416","Viral myocarditis","3/73","69/8773",0.0195713969804261,0.0473416224256252,0.0267262320074097,"941/942/5551",3
